,caption,name,overall_rating,category,opening_hours
0,"I have been the loyal member of the Projector for 4 years plus and I am very appreciated that Singapore is having such a place to chill out other than mainstream cinemas. And I am so glad that the projector survive and thrive through the difficult period of pandemic and now doing great with different outlets other than here. They offer annual membership including four free tickets and after that you can buy tickets using member price. The have a wide selection of movies you won’t find else where mainstream cinemas in Singapore, some indie or featured work from a rising star director. Other than watching it in golden mile tower or other location, they also offer a streaming service that you can rent the movies. The outlet itself also keeps the nostalgia vibe of 80’s, the seating in the cinema remain the same as you were a time traveler. Some rooms also have the seating like sofa and beanbags, isn’t it cool .. I like they really put into thought on the decorations to keep the old and new in the same place which is interesting enough to attract the youngsters. On the way to the rest room, they have a large mural wall and sometimes you will see influencers taking pictures there. Here also have a bar providing simple food and beverages, my go to order every time is iced coffee, come here and enjoy and definitely a place to give you the energy",The Projector,4.6,Cinema,
1,"Last I came by, it was for a corporate screening of Lei Yuan Bin's Baby Queen during Pride Month 2023. Enjoyed the documentary and the performances that followed. As another reviewer has written, the seats in another hall are 'steeply tiered'. It can feel dangerous walking in between the rows of seats at the back of that hall, but I suppose if earlier generations could do it, so can we. I used to work at Sinema Old School, and I tend to think of The Projector as its descendant in spirit.",The Projector,4.6,Cinema,
2,"Great vibes, cool film selections and at decent prices too. All that and you can have a pint while watching! Loads of curated specials from V-Day movies (Wong Kar Wai! Beautiful choice.) to film festival screenings to music events… there’s truly something for everybody :)",The Projector,4.6,Cinema,
3,Old school vibes though ventilation felt weak and mixed with bar food and dust. Cinema seats are steeply tiered.,The Projector,4.6,Cinema,
4,"Very unique art house Cinema with a retro inventory, that has been chosen by heart an passion for cinematography to give this beautiful cinema a real soul! ❤️  I really liked the vibe, the ambiente and the people 🎥  Tickets could easily be bought online for 11,50 S$ per adult. Happy hours are from 5 to 8 pm.  Great place to see movies, can only strongly recommend ✌🏼",The Projector,4.6,Cinema,
5,"the perfect hangout place for cinephiles. interior is very artsy, film selection is quite diverse. i signed up for the projector fan club for the free tix and discounts which is a quite a steal especially if you plan on visiting quite often.",The Projector,4.6,Cinema,
6,Used to go here almost every month during my hipster phase in uni. Just went back to catch Decision To Leave yesterday and enjoyed myself. Building is super old but adds to the vibe.,The Projector,4.6,Cinema,
7,"Awesome vibe, perfect place for hipsters to enjoy a movie! It’s like you’re watching a movie back in the good old days of cinema. Complete old school experience with the hollow acoustics, imperfectly comfortable seats, and IPA draft (comes with a free holder aka your thigh).",The Projector,4.6,Cinema,
8,Still my favourite place in Singapore. Thank you for all the great movies and amazing memories I had here.,The Projector,4.6,Cinema,
9,"I went there just because I want to use the photoautomat and it was very nice, you can exchange your money to coins to use the photobooth, but it will be very nice of you if you also buy a drink from the bar. For you people who love photograph, it is a nice place to get your shot here.",The Projector,4.6,Cinema,
10,"Food and drinks menu is the same as the one Projector: Picturehouse however there way more vintage stuff to see here, paintings and murals on the walls, even posters in the toilet.  The seats are much less comfortable compared to picturehouse though, no cupholder to put your drinks and the seats are vintage.  There are beanbags you can lie on to watch the movie if you desire.  Highly recommend the triple grilled cheese sandwich and the beef sausage bun, haram teh was amazing too.",The Projector,4.6,Cinema,
11,"Absolutely loved catching and indie Japanese film here. The vibe of the whole cinema is awesome. Very retro, groovy and artsy. Loved the pre-movie video for turning your phone off - it had everyone laughing! Feels like you're stepping out of time and out of Singapore in the Projector! Highly recommend!",The Projector,4.6,Cinema,
12,"An extremely unique cinema with a Gen Z vibe environment that is picturesque, unique and a worthy cinema worth experiencing in Singapore. Truly a once in a lifetime cinema that is extremely different than most cinemas. Love the Vibes, Happy Hour (till 8pm on Weekdays). Fun fact: you can bring all their food and drinks into the cinemas (alcohol served there as well)",The Projector,4.6,Cinema,
13,"Old school movie theater with lots of retro props from the 80's.  The vibe is cool, but the area is a bit ghetto.",The Projector,4.6,Cinema,
14,"I love it for the relaxed and retro atmosphere, selection of quality movies and alternative vibes. Seats in the green room could be more comfortable.",The Projector,4.6,Cinema,
15,"Awesome n perfect place to enjoy a movie! It’s like watching a movie back in the good old days cinema, old school experience!",The Projector,4.6,Cinema,
16,First time here and it was definitely awesome experience. You can grab food and drinks (from coffee to wine) they have variety of food selection. So many picture perfect spot. 😊 …,The Projector,4.6,Cinema,
17,"Cool space, friendly staff and had fun with the photo booth! Theatre was alright, not too hot or cold :-) Hope to come back again, love the cute straws they got",The Projector,4.6,Cinema,
18,"The halls are generally rather rundown and the seats old. When you take a seat initially, there will be creaky noises without fail. The steps in the bigger hall can be steep.  Only Blue hall has the washrooms just outside, making it the most accessible. BUT, only 2 cubicles for ladies AND 1 cubicle has been CLOSED for repairs for so many months! Wonder why?  Update: both cubicles are available for use! Hurray",The Projector,4.6,Cinema,
19,Always a great time at the Projector. We’ll definitely miss the spot at the Golden Mile.,The Projector,4.6,Cinema,
20,Interesting space with retro hipster vibes. Seats are a little old and narrow but otherwise good sound system and cinema.,The Projector,4.6,Cinema,
